model,auc,pr_auc,recall,precision,f1,TP,FP,FN,TN,missed_frauds,false_alarms,business_cost
No Handling,0.8873,0.4941,0.3735,0.6891,0.4844,1518,685,2546,113359,2546,685,127642500
scale_pos_weight,0.8867,0.499,0.6767,0.2213,0.3335,2750,9679,1314,104365,1314,9679,70539500
SMOTE (20%),0.8851,0.5052,0.3561,0.7478,0.4824,1447,488,2617,113556,2617,488,131094000
ADASYN (20%),0.8877,0.5084,0.3501,0.7529,0.478,1423,467,2641,113577,2641,467,132283500
BalancedRandomForest,0.891,0.4689,0.6474,0.2361,0.346,2631,8512,1433,105532,1433,8512,75906000
Cost-Optimized Threshold (0.13),0.8867,0.499,0.919,0.0692,0.1287,3735,50227,329,63817,329,50227,41563500
